Loyalty#,Country,Province or State,City,Gender,Education,Location Code,Marital Status,LoyaltyStatus,EnrollmentType,Income_Bins,Preferred_Season,CLV_Bins,Loyalty#
480934,Canada,Ontario,Toronto,female,Bachelor,Urban,Married,Star,Standard,High,Summer_Flights,Low,480934
549612,Canada,Alberta,Edmonton,male,College,Rural,Divorced,Star,Standard,Low,Spring_Flights,Low,549612
429460,Canada,British Columbia,Vancouver,male,College,Urban,Single,Star,Standard,Low,Spring_Flights,Low,429460
608370,Canada,Ontario,Toronto,male,College,Suburban,Single,Star,Standard,Low,Spring_Flights,Low,608370
530508,Canada,Quebec,Hull,male,Bachelor,Suburban,Married,Star,2021 Promotion,High,Summer_Flights,Low,530508
927943,Canada,Ontario,Toronto,female,College,Urban,Single,Star,Standard,Low,Summer_Flights,Low,927943
188893,Canada,Ontario,Trenton,male,Bachelor,Suburban,Married,Star,Standard,High,Summer_Flights,Low,188893
852392,Canada,Quebec,Montreal,female,Bachelor,Suburban,Married,Star,Standard,High,Spring_Flights,Low,852392
866307,Canada,Ontario,Toronto,male,Bachelor,Suburban,Married,Star,Standard,High,Spring_Flights,Low,866307
932823,Canada,British Columbia,Vancouver,female,Bachelor,Suburban,Married,Star,Standard,Medium,Autumn_Flights,Low,932823
144514,Canada,British Columbia,Dawson Creek,female,Bachelor,Urban,Married,Star,Standard,Medium,Summer_Flights,Low,144514
611765,Canada,Quebec,Quebec City,male,Bachelor,Suburban,Single,Star,Standard,High,Autumn_Flights,Low,611765
988178,Canada,Quebec,Montreal,male,College,Rural,Single,Star,Standard,Low,Spring_Flights,Low,988178
286114,Canada,Ontario,Toronto,female,College,Rural,Single,Star,Standard,Low,Summer_Flights,Low,286114
205785,Canada,Ontario,Toronto,male,Master,Rural,Married,Star,Standard,Medium,Summer_Flights,Low,205785
735304,Canada,Alberta,Edmonton,female,Master,Urban,Married,Star,Standard,Medium,Winter_Flights,Low,735304
438936,Canada,Quebec,Montreal,male,Bachelor,Rural,Married,Star,Standard,High,Summer_Flights,Low,438936
243713,Canada,New Brunswick,Moncton,female,College,Rural,Married,Star,2021 Promotion,Low,Spring_Flights,Low,243713
354730,Canada,New Brunswick,Fredericton,female,College,Urban,Married,Star,Standard,Low,Summer_Flights,Low,354730
413741,Canada,Ontario,Toronto,female,College,Urban,Married,Star,Standard,Low,Summer_Flights,Low,413741
552965,Canada,Quebec,Montreal,male,College,Rural,Married,Star,Standard,Low,Winter_Flights,Low,552965
642313,Canada,Alberta,Edmonton,male,College,Suburban,Married,Star,Standard,Low,Spring_Flights,Low,642313
263080,Canada,Alberta,Edmonton,male,College,Urban,Single,Star,Standard,Low,Spring_Flights,Low,263080
109767,Canada,Ontario,Toronto,female,Bachelor,Suburban,Single,Star,Standard,High,Winter_Flights,Low,109767
217754,Canada,Quebec,Montreal,female,Bachelor,Urban,Single,Star,Standard,High,Summer_Flights,Low,217754
157005,Canada,British Columbia,Vancouver,male,Bachelor,Rural,Married,Star,Standard,High,Summer_Flights,Low,157005
557752,Canada,Ontario,Toronto,female,Bachelor,Suburban,Married,Star,Standard,High,Winter_Flights,Low,557752
608758,Canada,Ontario,Ottawa,male,Bachelor,Rural,Married,Star,Standard,Medium,Autumn_Flights,Low,608758
599341,Canada,Quebec,Tremblant,female,Bachelor,Rural,Married,Star,Standard,Medium,Summer_Flights,Low,599341
333502,Canada,British Columbia,Vancouver,male,College,Urban,Married,Star,Standard,Low,Summer_Flights,Low,333502
201574,Canada,Ontario,Ottawa,female,Bachelor,Suburban,Married,Star,Standard,Medium,Non_Travel,Low,201574
403361,Canada,British Columbia,Vancouver,male,Bachelor,Rural,Single,Star,Standard,Medium,Autumn_Flights,Low,403361
543918,Canada,Quebec,Montreal,male,High School or Below,Urban,Married,Star,Standard,Low,Summer_Flights,Low,543918
806030,Canada,Alberta,Calgary,female,Bachelor,Urban,Married,Star,Standard,High,Summer_Flights,Low,806030
