Loyalty#,Customer Lifetime Value
480934,3839.14
549612,3839.61
429460,3839.75
608370,3839.75
530508,3842.79
193662,3844.57
927943,3857.95
188893,3861.49
852392,3861.49
866307,3861.49
932823,3863.31
144514,3864.78
611765,3867.97
988178,3871.07
286114,3872.22
205785,3873.65
735304,3873.65
438936,3878.77
243713,3883.4
354730,3885.46
413741,3885.46
552965,3885.46
642313,3885.46
263080,3886.5
109767,3886.65
217754,3887.32
157005,3890.87
557752,3890.87
608758,3890.96
599341,3891.54
333502,3891.58
201574,3893.31
403361,3895.03
543918,3896.57
806030,3903.47
119200,3903.8
175967,3906.67
238119,3906.67
730388,3907.03
834891,3911.12
127400,3914.72
324557,3914.72
742002,3915.8
536567,3919.37
704835,3919.37
733338,3919.37
758635,3919.37
823048,3919.37
612905,3920.51
679908,3921.02
704150,3921.02
869743,3924.42
596179,3933.81
370450,3934.1
501030,3934.71
878633,3936.79
285938,3939.01
588237,3939.01
645280,3939.01
864324,3939.01
124678,3954.34
186015,3954.34
461108,3954.34
589580,3954.34
623688,3954.34
751616,3954.34
256147,3958.0
329382,3961.59
140392,3963.39
541008,3963.4
230908,3964.15
972581,3964.53
357549,3964.73
157729,3966.13
910875,3966.13
501704,3974.86
529098,3974.86
265297,3978.67
567875,3979.72
688524,3980.42
269070,3985.32
387705,3985.32
923293,3985.55
283314,3991.73
322102,3992.58
789157,3995.36
654748,3996.77
984713,3997.48
114835,4001.52
328936,4005.72
845864,4013.85
645265,4013.95
223587,4013.96
158560,4014.45
417584,4014.45
566033,4015.21
957912,4015.34
425854,4016.13
174896,4016.54
695855,4019.38
699511,4019.38
377322,4023.81
511053,4023.81
890753,4025.1
796670,4035.68
556136,4035.77
513081,4037.5
930718,4037.55
235872,4046.94
881142,4046.94
295147,4048.16
306110,4053.37
295217,4059.57
711363,4064.11
591731,4064.18
326905,4068.09
375511,4070.05
485283,4072.85
760158,4076.63
797685,4079.13
216467,4083.56
958839,4083.56
539673,4087.51
746226,4089.04
484718,4089.46
528492,4090.75
995091,4095.2
632793,4097.37
912220,4097.37
382197,4100.47
705196,4101.94
123094,4103.85
821515,4105.58
119488,4108.26
287750,4109.31
735846,4109.79
606026,4110.62
460291,4111.2
743001,4111.89
869799,4111.89
520321,4112.84
279419,4117.37
170585,4118.59
188340,4118.59
670817,4118.59
509513,4121.25
779247,4122.57
111255,4122.96
763061,4126.61
509108,4132.59
428919,4139.9
139863,4142.56
695755,4144.87
355331,4145.02
578837,4152.65
603248,4157.7
467182,4160.02
601407,4165.17
700871,4165.25
203809,4165.35
705589,4165.99
354438,4167.09
746060,4167.09
469718,4167.42
164429,4169.36
708373,4169.36
225088,4170.34
100214,4170.57
459999,4170.69
553936,4170.69
268128,4177.88
930584,4185.76
327796,4191.06
947467,4196.43
743510,4196.65
580324,4198.03
845613,4198.03
936088,4198.03
423324,4200.37
101945,4202.66
713636,4212.8
302509,4213.92
789421,4217.86
914255,4217.86
242377,4221.31
404426,4223.27
260106,4228.25
154643,4228.73
438023,4228.73
397518,4235.18
645742,4235.18
872932,4236.3
407945,4236.47
211714,4236.84
410982,4237.37
905213,4237.37
147898,4241.64
530105,4242.69
610946,4244.47
383108,4247.68
836343,4247.68
398535,4250.28
585357,4250.28
784804,4250.28
719633,4250.78
715764,4253.28
753473,4254.62
980856,4254.62
271660,4270.03
377471,4270.03
830547,4271.2
264936,4272.81
436498,4272.81
976513,4273.59
828776,4274.62
240362,4276.36
137845,4277.27
430569,4277.56
317001,4282.95
625870,4282.95
660554,4282.95
917630,4282.95
670686,4291.06
717660,4293.01
450621,4296.6
939562,4297.02
135250,4298.66
714555,4299.84
947868,4300.9
573661,4303.64
228580,4305.79
557500,4305.81
238233,4307.42
979309,4312.77
885497,4313.34
833569,4314.07
120046,4314.17
816881,4314.17
717700,4315.79
962278,4318.43
245465,4319.15
510372,4322.24
709920,4327.1
156031,4328.37
143784,4330.39
602176,4330.39
870998,4330.39
958224,4330.39
837628,4330.77
395460,4330.8
136547,4331.46
780631,4331.46
166712,4334.06
217695,4334.06
263707,4334.06
638368,4334.06
695529,4334.06
871203,4334.06
915571,4334.06
642109,4335.35
833701,4340.86
275442,4349.31
374345,4349.31
384825,4349.31
559233,4349.31
564650,4349.31
277649,4358.76
176885,4361.37
732013,4361.37
793318,4362.77
830024,4362.77
223684,4362.93
723262,4362.93
879892,4363.12
966117,4363.12
258358,4363.2
265836,4364.31
474174,4365.26
474172,4369.04
202299,4373.36
497467,4373.36
971902,4376.08
134279,4376.36
474757,4376.36
635225,4376.36
980198,4376.36
995693,4376.36
861924,4377.53
639383,4381.18
769731,4381.88
884530,4381.88
207372,4383.15
236300,4384.35
543553,4386.28
639701,4386.28
998090,4389.28
283747,4389.95
863122,4395.89
816593,4398.05
440939,4419.12
531201,4419.54
585629,4423.69
347932,4425.75
417886,4425.91
514900,4425.91
203550,4426.1
181825,4428.03
261582,4428.03
679859,4428.03
924724,4428.03
122958,4430.57
274698,4434.41
149549,4436.81
652291,4439.9
603775,4443.63
948404,4447.42
605877,4455.84
994377,4456.02
766927,4457.94
172610,4458.11
702588,4458.11
798248,4458.11
641448,4462.45
406047,4463.0
538902,4463.0
805110,4463.0
883242,4463.0
909134,4463.0
294753,4463.61
606076,4465.34
120613,4466.1
520094,4466.98
754539,4467.71
189611,4468.22
971599,4468.51
485189,4471.75
521384,4472.33
128039,4474.48
565133,4477.45
947876,4479.02
138746,4479.49
564707,4479.49
383898,4481.39
174996,4488.13
798854,4491.91
800075,4492.23
410384,4492.52
692304,4492.52
991672,4502.41
344180,4502.67
703338,4502.87
922388,4505.4
471018,4505.84
655743,4505.85
787472,4506.66
667687,4512.2
348920,4515.18
523394,4515.18
430521,4515.45
981581,4517.91
639510,4518.02
744675,4521.19
289177,4525.28
420890,4525.37
357149,4526.13
876207,4526.95
224384,4528.74
650445,4529.06
399982,4529.98
228984,4530.53
221388,4531.37
710053,4531.37
591576,4531.68
296412,4533.73
836475,4540.38
901002,4540.99
450979,4541.26
392235,4542.41
529218,4547.16
549132,4547.89
782523,4547.89
566343,4548.29
263729,4554.56
326561,4554.56
604116,4554.91
313837,4556.59
561092,4558.43
234866,4558.59
721984,4558.97
772397,4561.27
685792,4563.02
344199,4563.87
909385,4564.51
211043,4566.12
459801,4568.82
958243,4569.88
517758,4570.67
712062,4570.67
845945,4571.51
324707,4572.04
184635,4574.52
947123,4574.92
432598,4576.76
524483,4576.76
413445,4582.16
257575,4582.67
352834,4582.69
127590,4582.9
846374,4583.1
651054,4583.75
776956,4589.94
130368,4591.63
752331,4592.15
986825,4592.15
882024,4594.26
981343,4594.26
101581,4595.46
321557,4595.52
390719,4598.24
329358,4599.76
497494,4601.91
821379,4601.91
361816,4605.04
517612,4605.04
734192,4605.04
774724,4605.04
874161,4605.04
906396,4606.27
722976,4617.39
747304,4617.84
613804,4620.39
995877,4623.54
446968,4623.62
123928,4624.56
237105,4624.56
395026,4624.62
702493,4624.62
894466,4625.55
610393,4626.8
800726,4626.8
111171,4628.28
199959,4628.28
842064,4630.36
149542,4631.01
779434,4633.1
203184,4633.55
225077,4636.55
365816,4636.55
781463,4636.55
644786,4637.03
441440,4637.16
756791,4639.04
676676,4642.02
401858,4644.7
819569,4644.9
428826,4645.57
779435,4645.84
518533,4646.39
568547,4648.54
761007,4650.06
830931,4652.6
229204,4652.89
437269,4654.84
202761,4654.95
723390,4655.21
956005,4655.61
683361,4656.67
370486,4657.16
279919,4660.4
635249,4665.13
849415,4665.13
334003,4668.04
256323,4669.23
553567,4669.23
612555,4669.23
411242,4670.05
353128,4670.06
367961,4670.95
431899,4671.42
835491,4673.2
791355,4678.42
331258,4681.53
713329,4685.5
422805,4686.47
660376,4686.47
841677,4686.47
871329,4686.81
626326,4692.05
412854,4692.1
187010,4692.17
